Source	Target	miRNA	CMI	p-value	p-adjusted
ENSG00000038427	ENSG00000171862	MIMAT0000275	0.05061408991975931	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0000274	0.028225646976055587	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000274	0.033857186078094056	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0000273	0.030189180621122105	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000273	0.03307613274677914	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0000271	0.10682690659219539	0.001	0.00265716506867064
ENSG00000171862	ENSG00000101558	MIMAT0018992	4.459923794807123E-5	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000271	0.06162380556484981	0.001	0.00265716506867064
ENSG00000101558	ENSG00000171862	MIMAT0018992	1.4985438375534737E-4	0.004	0.008760358821016659
ENSG00000038427	ENSG00000169554	MIMAT0002825	0.0159854403264666	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0002825	0.014656845593671818	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0002821	0.06630950894681423	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0002821	0.04854805178576785	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0000276	0.07752031567490568	0.001	0.00265716506867064
ENSG00000115414	ENSG00000070831	MIMAT0000242	0.0113426779534228	0.004	0.008760358821016659
ENSG00000038427	ENSG00000169554	MIMAT0002819	0.07106026250005187	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0002819	0.054221231524639334	0.001	0.00265716506867064
ENSG00000169554	ENSG00000101558	MIMAT0018992	2.0376134552288177E-4	0.001	0.00265716506867064
ENSG00000174059	ENSG00000237984	MIMAT0003885	0.027322140441323018	0.001	0.00265716506867064
ENSG00000026508	ENSG00000169554	MIMAT0001413	0.017053374604768717	0.001	0.00265716506867064
ENSG00000169554	ENSG00000026508	MIMAT0001413	0.01797682309901555	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0002806	0.00692800521134942	0.003	0.006869584635998213
ENSG00000169554	ENSG00000038427	MIMAT0002806	0.011345113315030646	0.001	0.00265716506867064
ENSG00000108821	ENSG00000138767	MIMAT0000688	0.013408850026326977	0.001	0.00265716506867064
ENSG00000101558	ENSG00000115414	MIMAT0017999	0.009524131301345235	0.002	0.004855113636363637
ENSG00000038427	ENSG00000070831	MIMAT0000462	0.026728849375382707	0.001	0.00265716506867064
ENSG00000070831	ENSG00000038427	MIMAT0000462	0.02580449468636725	0.001	0.00265716506867064
ENSG00000108821	ENSG00000115414	MIMAT0016844	4.7882016067575804E-5	0.001	0.00265716506867064
ENSG00000115414	ENSG00000108821	MIMAT0016844	8.997243198854376E-5	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0002819	0.03006416561077058	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0002819	0.032857442915117885	0.001	0.00265716506867064
ENSG00000038427	ENSG00000174059	MIMAT0000243	0.05813456210280975	0.002	0.004855113636363637
ENSG00000171862	ENSG00000038427	MIMAT0002825	0.007374844634414138	0.003	0.006869584635998213
ENSG00000038427	ENSG00000169554	MIMAT0000278	0.05366444011689319	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000278	0.06902489223601622	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0000279	0.04817740463496871	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000279	0.05835232466296823	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0000274	0.06187193140947799	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000274	0.06383948644223618	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0000273	0.04424953947984346	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000273	0.04417502187976518	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0000275	0.05245784718304171	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000275	0.04526610864354777	0.002	0.004855113636363637
ENSG00000171862	ENSG00000038427	MIMAT0002821	0.03784960653507995	0.003	0.006869584635998213
ENSG00000038427	ENSG00000171862	MIMAT0002821	0.02982814987157185	0.003	0.006869584635998213
ENSG00000038427	ENSG00000169554	MIMAT0000272	0.07524981956097056	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000272	0.07603051520415371	0.001	0.00265716506867064
ENSG00000139687	ENSG00000026508	MIMAT0002853	0.004181232573341075	0.004	0.008760358821016659
ENSG00000038427	ENSG00000169554	MIMAT0000266	0.043191448577762116	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000266	0.042106387128274886	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0000269	0.08156065456846154	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000269	0.08049778891574325	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0000268	0.030801006165543328	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000268	0.02914989894695903	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0000265	0.08193156340553448	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000265	0.06723181819291726	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0000264	0.0573222508348766	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000264	0.060108415184590855	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0002834	0.03799881307650236	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0002834	0.04428565863442593	0.001	0.00265716506867064
ENSG00000174059	ENSG00000038427	MIMAT0000264	0.03258447697379603	0.001	0.00265716506867064
ENSG00000174059	ENSG00000038427	MIMAT0000265	0.07238614687628928	0.001	0.00265716506867064
ENSG00000038427	ENSG00000174059	MIMAT0000265	0.10627724913570745	0.001	0.00265716506867064
ENSG00000237984	ENSG00000070831	MIMAT0001413	0.020876506219195835	0.001	0.00265716506867064
ENSG00000070831	ENSG00000237984	MIMAT0001413	0.017222416530669162	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0000259	0.05759579221168398	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000259	0.04566337468918201	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0000256	0.03176859739268523	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0000255	0.0444635906721755	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000255	0.04947754929070362	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0000258	0.06285057637431841	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000258	0.05137395354449994	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000257	0.027820880213549323	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0000252	0.050859208952337344	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000252	0.07020368404112792	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0002846	0.011668053168229008	0.002	0.004855113636363637
ENSG00000038427	ENSG00000174059	MIMAT0000271	0.05789686140752696	0.001	0.00265716506867064
ENSG00000174059	ENSG00000038427	MIMAT0000273	0.030348209529180034	0.001	0.00265716506867064
ENSG00000138767	ENSG00000169554	MIMAT0003150	0.03887225234978961	0.001	0.00265716506867064
ENSG00000169554	ENSG00000138767	MIMAT0003150	0.061101073185281955	0.002	0.004855113636363637
ENSG00000038427	ENSG00000169554	MIMAT0000245	0.058400445795505795	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000245	0.06293502038916148	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000244	0.047817149306261936	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0000241	5.480347185749374E-4	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000241	3.884650941030748E-4	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0002853	0.022743167616780677	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0002853	0.03292162436629755	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0000242	0.08228721289593699	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0000242	0.07202739692613772	0.001	0.00265716506867064
ENSG00000108821	ENSG00000171862	MIMAT0005886	1.337505737580507E-6	0.004	0.008760358821016659
ENSG00000171862	ENSG00000108821	MIMAT0005886	1.3358385834694969E-6	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0002856	0.007326585812586452	0.003	0.006869584635998213
ENSG00000237984	ENSG00000169554	MIMAT0003885	0.0548328900165958	0.002	0.004855113636363637
ENSG00000169554	ENSG00000237984	MIMAT0003885	0.033206484670383306	0.001	0.00265716506867064
